DATE,ALTSALES
1976-01-01,12.512
1976-02-01,13.044
1976-03-01,13.085
1976-04-01,12.915
1976-05-01,12.645
1976-06-01,12.727
1976-07-01,13.122
1976-08-01,12.594
1976-09-01,13.209
1976-10-01,12.537
1976-11-01,13.006
1976-12-01,14.197
1977-01-01,14.019
1977-02-01,14.335
1977-03-01,14.782
1977-04-01,14.753
1977-05-01,14.605
1977-06-01,14.571
1977-07-01,14.306
1977-08-01,14.488
1977-09-01,14.274
1977-10-01,14.511
1977-11-01,14.396
1977-12-01,14.789
1978-01-01,13.334
1978-02-01,13.969
1978-03-01,14.714
1978-04-01,15.757
1978-05-01,15.83
1978-06-01,15.868
1978-07-01,15.086
1978-08-01,15.676
1978-09-01,14.195
1978-10-01,15.391
1978-11-01,15.015
1978-12-01,14.839
1979-01-01,14.626
1979-02-01,14.856
1979-03-01,14.839
1979-04-01,14.304
1979-05-01,13.966
1979-06-01,12.363
1979-07-01,13.712
1979-08-01,13.999
1979-09-01,13.953
1979-10-01,12.733
1979-11-01,12.667
1979-12-01,13.198
1980-01-01,14.115
1980-02-01,12.967
1980-03-01,11.797
1980-04-01,10.198
1980-05-01,9.31
1980-06-01,10.181
1980-07-01,11.381
1980-08-01,10.86
1980-09-01,10.622
1980-10-01,11.146
1980-11-01,11.014
1980-12-01,10.718
1981-01-01,11.036
1981-02-01,12.116
1981-03-01,12.185
1981-04-01,10.212
1981-05-01,10.136
1981-06-01,10.205
1981-07-01,10.206
1981-08-01,12.457
1981-09-01,10.863
1981-10-01,9.209
1981-11-01,9.294
1981-12-01,8.849
1982-01-01,10.075
1982-02-01,10.725
1982-03-01,10.457
1982-04-01,9.541
1982-05-01,10.90
1982-06-01,9.42
1982-07-01,9.585
1982-08-01,9.779
1982-09-01,10.958
1982-10-01,9.981
1982-11-01,11.866
1982-12-01,11.073
1983-01-01,10.688
1983-02-01,10.441
1983-03-01,10.832
1983-04-01,11.507
1983-05-01,11.865
1983-06-01,12.785
1983-07-01,12.733
1983-08-01,12.048
1983-09-01,12.258
1983-10-01,13.103
1983-11-01,12.899
1983-12-01,14.278
1984-01-01,13.998
1984-02-01,14.13
1984-03-01,13.967
1984-04-01,14.094
1984-05-01,14.569
1984-06-01,14.394
1984-07-01,14.455
1984-08-01,14.006
1984-09-01,13.662
1984-10-01,14.342
1984-11-01,14.444
1984-12-01,14.306
1985-01-01,15.265
1985-02-01,15.432
1985-03-01,15.049
1985-04-01,15.224
1985-05-01,15.27
1985-06-01,14.80
1985-07-01,15.222
1985-08-01,16.633
1985-09-01,18.809
1985-10-01,13.887
1985-11-01,14.333
1985-12-01,15.387
1986-01-01,15.781
1986-02-01,15.126
1986-03-01,13.90
1986-04-01,15.579
1986-05-01,16.038
1986-06-01,15.637
1986-07-01,15.471
1986-08-01,17.01
1986-09-01,21.221
1986-10-01,14.516
1986-11-01,14.545
1986-12-01,17.782
1987-01-01,12.155
1987-02-01,14.83
1987-03-01,15.017
1987-04-01,15.167
1987-05-01,14.283
1987-06-01,15.341
1987-07-01,15.372
1987-08-01,16.786
1987-09-01,15.82
1987-10-01,13.975
1987-11-01,14.227
1987-12-01,15.354
1988-01-01,15.77
1988-02-01,16.172
1988-03-01,15.848
1988-04-01,15.201
1988-05-01,15.606
1988-06-01,15.525
1988-07-01,15.375
1988-08-01,15.078
1988-09-01,14.71
1988-10-01,14.815
1988-11-01,15.038
1988-12-01,16.098
1989-01-01,15.017
1989-02-01,14.668
1989-03-01,14.362
1989-04-01,15.698
1989-05-01,14.942
1989-06-01,14.065
1989-07-01,14.389
1989-08-01,16.234
1989-09-01,15.361
1989-10-01,13.27
1989-11-01,13.068
1989-12-01,13.273
1990-01-01,16.01
1990-02-01,14.066
1990-03-01,14.203
1990-04-01,14.009
1990-05-01,13.743
1990-06-01,13.867
1990-07-01,13.789
1990-08-01,13.582
1990-09-01,14.025
1990-10-01,13.483
1990-11-01,12.877
1990-12-01,12.702
1991-01-01,11.596
1991-02-01,12.175
1991-03-01,12.616
1991-04-01,11.825
1991-05-01,12.27
1991-06-01,12.505
1991-07-01,12.742
1991-08-01,12.352
1991-09-01,12.89
1991-10-01,12.015
1991-11-01,12.364
1991-12-01,12.42
1992-01-01,12.367
1992-02-01,12.698
1992-03-01,12.592
1992-04-01,12.31
1992-05-01,12.86
1992-06-01,13.317
1992-07-01,12.60
1992-08-01,12.62
1992-09-01,13.114
1992-10-01,13.368
1992-11-01,12.958
1992-12-01,13.514
1993-01-01,13.193
1993-02-01,12.698
1993-03-01,13.041
1993-04-01,14.235
1993-05-01,14.212
1993-06-01,14.188
1993-07-01,14.143
1993-08-01,13.276
1993-09-01,13.676
1993-10-01,14.603
1993-11-01,14.539
1993-12-01,14.679
1994-01-01,15.035
1994-02-01,15.194
1994-03-01,14.974
1994-04-01,15.68
1994-05-01,14.249
1994-06-01,14.763
1994-07-01,14.522
1994-08-01,14.989
1994-09-01,14.911
1994-10-01,15.517
1994-11-01,15.50
1994-12-01,15.196
1995-01-01,14.363
1995-02-01,14.457
1995-03-01,14.865
1995-04-01,13.980
1995-05-01,14.418
1995-06-01,15.019
1995-07-01,14.326
1995-08-01,15.006
1995-09-01,14.959
1995-10-01,14.470
1995-11-01,15.012
1995-12-01,15.862
1996-01-01,14.449
1996-02-01,15.215
1996-03-01,15.679
1996-04-01,15.112
1996-05-01,15.624
1996-06-01,14.864
1996-07-01,14.700
1996-08-01,15.128
1996-09-01,15.184
1996-10-01,14.972
1996-11-01,15.392
1996-12-01,14.849
1997-01-01,15.332
1997-02-01,14.916
1997-03-01,15.444
1997-04-01,14.694
1997-05-01,14.717
1997-06-01,14.180
1997-07-01,15.194
1997-08-01,15.765
1997-09-01,14.711
1997-10-01,15.036
1997-11-01,15.421
1997-12-01,16.059
1998-01-01,14.400
1998-02-01,14.839
1998-03-01,15.001
1998-04-01,15.521
1998-05-01,16.649
