DATE,DSPIC96_PCH
1959-02-01,0.34038
1959-03-01,0.56215
1959-04-01,0.60720
1959-05-01,0.57001
1959-06-01,0.34769
1959-07-01,-0.17087
1959-08-01,-0.58004
1959-09-01,0.00478
1959-10-01,0.12911
1959-11-01,0.70682
1959-12-01,0.90103
1960-01-01,0.33839
1960-02-01,-0.02810
1960-03-01,0.11245
1960-04-01,0.37909
1960-05-01,0.23312
1960-06-01,0.06977
1960-07-01,0.07902
1960-08-01,-0.12076
1960-09-01,0.16741
1960-10-01,0.36212
1960-11-01,-0.45795
1960-12-01,-0.50653
1961-01-01,1.04624
1961-02-01,0.42526
1961-03-01,0.40504
1961-04-01,0.23838
1961-05-01,0.76374
1961-06-01,1.06204
1961-07-01,0.34580
1961-08-01,-0.02238
1961-09-01,0.10296
1961-10-01,1.02853
1961-11-01,0.95166
1961-12-01,0.57439
1962-01-01,-0.28773
1962-02-01,0.48968
1962-03-01,0.64393
1962-04-01,0.41069
1962-05-01,0.02153
1962-06-01,0.10761
1962-07-01,0.38698
1962-08-01,0.07281
1962-09-01,0.02568
1962-10-01,0.44074
1962-11-01,0.37490
1962-12-01,0.44565
1963-01-01,0.70565
1963-02-01,-0.60420
1963-03-01,0.39681
1963-04-01,0.45411
1963-05-01,0.33485
1963-06-01,0.57152
1963-07-01,0.08296
1963-08-01,0.42689
1963-09-01,0.71809
1963-10-01,0.61873
1963-11-01,0.18325
1963-12-01,0.78452
1964-01-01,0.39526
1964-02-01,0.29327
1964-03-01,2.32726
1964-04-01,0.55195
1964-05-01,0.53724
1964-06-01,0.35624
1964-07-01,0.34340
1964-08-01,0.59602
1964-09-01,0.38607
1964-10-01,-0.02285
1964-11-01,0.56368
1964-12-01,0.96198
1965-01-01,0.24383
1965-02-01,0.00374
1965-03-01,0.30684
1965-04-01,0.16414
1965-05-01,1.07263
1965-06-01,0.12529
1965-07-01,1.03047
1965-08-01,0.49541
1965-09-01,2.74395
1965-10-01,-0.58917
1965-11-01,0.73816
1965-12-01,0.40161
1966-01-01,0.14386
1966-02-01,0.34337
1966-03-01,0.30727
1966-04-01,-0.30285
1966-05-01,0.15363
1966-06-01,0.42532
1966-07-01,0.36104
1966-08-01,0.49810
1966-09-01,0.54381
1966-10-01,0.37998
1966-11-01,0.43311
1966-12-01,-0.11205
1967-01-01,1.05721
1967-02-01,0.16483
1967-03-01,0.75226
1967-04-01,-0.03333
1967-05-01,0.20006
1967-06-01,0.36604
1967-07-01,0.43434
1967-08-01,0.31692
1967-09-01,-0.04607
1967-10-01,-0.01975
1967-11-01,0.57297
1967-12-01,0.85456
1968-01-01,0.15583
1968-02-01,0.70986
1968-03-01,0.93659
1968-04-01,0.41134
1968-05-01,0.37790
1968-06-01,0.41444
1968-07-01,-0.19849
1968-08-01,0.08208
1968-09-01,-0.04731
1968-10-01,0.35976
1968-11-01,0.33646
1968-12-01,0.30712
1969-01-01,-0.15622
1969-02-01,-0.01565
1969-03-01,0.15961
1969-04-01,0.00000
1969-05-01,1.14677
1969-06-01,0.69200
1969-07-01,0.76088
1969-08-01,0.65465
1969-09-01,0.19058
1969-10-01,0.31401
1969-11-01,0.10836
1969-12-01,0.14732
1970-01-01,0.55841
1970-02-01,0.26870
1970-03-01,0.31562
1970-04-01,1.33567
1970-05-01,-0.51258
1970-06-01,-0.33269
1970-07-01,1.66603
1970-08-01,0.35738
1970-09-01,0.16213
1970-10-01,-0.47982
1970-11-01,-0.19750
1970-12-01,0.39288
1971-01-01,1.61463
1971-02-01,0.13123
1971-03-01,0.30484
1971-04-01,0.27835
1971-05-01,0.35972
1971-06-01,2.05746
1971-07-01,-1.38271
1971-08-01,0.54962
1971-09-01,0.25936
1971-10-01,0.35883
1971-11-01,0.32706
1971-12-01,0.68514
1972-01-01,-0.55975
1972-02-01,0.54910
1972-03-01,0.27442
1972-04-01,0.12589
1972-05-01,0.67785
1972-06-01,0.22262
1972-07-01,0.79098
1972-08-01,0.93260
1972-09-01,0.36746
1972-10-01,2.48587
1972-11-01,1.13383
1972-12-01,0.38907
1973-01-01,-0.50994
1973-02-01,0.72014
1973-03-01,0.31806
1973-04-01,0.15218
1973-05-01,0.14942
1973-06-01,0.27564
1973-07-01,0.23453
1973-08-01,-0.29436
1973-09-01,0.49457
1973-10-01,0.89138
1973-11-01,0.16426
1973-12-01,-0.40251
1974-01-01,-0.66858
1974-02-01,-0.78610
1974-03-01,-0.74423
1974-04-01,-0.08926
1974-05-01,-0.10466
1974-06-01,-0.05877
1974-07-01,0.53949
1974-08-01,-0.46793
1974-09-01,-0.16097
1974-10-01,0.47857
1974-11-01,-0.50940
1974-12-01,-0.00512
1975-01-01,-0.03840
1975-02-01,0.04098
1975-03-01,0.08192
1975-04-01,1.88781
1975-05-01,5.75180
1975-06-01,-3.40914
1975-07-01,-1.50175
1975-08-01,0.64629
1975-09-01,0.27768
1975-10-01,0.39806
1975-11-01,-0.07142
1975-12-01,0.04929
1976-01-01,0.64535
1976-02-01,0.61185
1976-03-01,0.30406
1976-04-01,0.09215
1976-05-01,0.00485
1976-06-01,0.05330
1976-07-01,0.58116
1976-08-01,0.17093
1976-09-01,0.00961
1976-10-01,-0.13217
1976-11-01,0.88072
1976-12-01,0.23376
1977-01-01,-0.39742
1977-02-01,-0.85535
1977-03-01,1.48448
1977-04-01,0.31820
1977-05-01,0.10889
1977-06-01,0.45872
1977-07-01,0.71553
1977-08-01,0.42767
1977-09-01,0.54220
1977-10-01,0.74758
1977-11-01,0.81325
1977-12-01,0.37600
1978-01-01,-0.46994
1978-02-01,0.58165
1978-03-01,0.81640
1978-04-01,0.31267
1978-05-01,-0.08970
1978-06-01,-0.00673
1978-07-01,0.48258
1978-08-01,0.39761
1978-09-01,0.01557
1978-10-01,0.38041
1978-11-01,0.11746
1978-12-01,0.55560
1979-01-01,0.28177
1979-02-01,0.40391
1979-03-01,0.29297
1979-04-01,-0.79132
1979-05-01,-0.47023
1979-06-01,-0.25168
1979-07-01,0.73923
1979-08-01,0.11864
1979-09-01,-0.05267
1979-10-01,0.11417
1979-11-01,0.33335
1979-12-01,0.27541
1980-01-01,0.68009
1980-02-01,-0.54993
1980-03-01,-0.79026
1980-04-01,-0.59687
1980-05-01,-0.29360
1980-06-01,0.13949
1980-07-01,0.91755
1980-08-01,0.18184
1980-09-01,0.54672
1980-10-01,1.20713
1980-11-01,0.25144
1980-12-01,0.46089
1981-01-01,-0.47798
1981-02-01,-0.38165
1981-03-01,0.22599
1981-04-01,-0.31567
1981-05-01,0.15726
1981-06-01,0.49470
1981-07-01,1.52816
1981-08-01,0.24453
1981-09-01,-0.10725
1981-10-01,0.21052
1981-11-01,0.03571
1981-12-01,-0.14070
1982-01-01,0.03996
1982-02-01,0.26066
1982-03-01,-0.02935
1982-04-01,0.98152
1982-05-01,-0.42161
1982-06-01,-0.56313
1982-07-01,1.01099
1982-08-01,0.07268
1982-09-01,-0.00830
1982-10-01,-0.00623
1982-11-01,0.40676
1982-12-01,0.49812
1983-01-01,0.20566
1983-02-01,0.03900
1983-03-01,0.47187
1983-04-01,0.17969
1983-05-01,0.33836
1983-06-01,-0.06907
1983-07-01,1.28476
1983-08-01,-0.05620
1983-09-01,0.57434
1983-10-01,0.89054
1983-11-01,0.86883
1983-12-01,0.91432
1984-01-01,0.50162
1984-02-01,0.60939
1984-03-01,0.66146
1984-04-01,0.68768
1984-05-01,0.15557
1984-06-01,0.67434
1984-07-01,0.14864
1984-08-01,0.71392
1984-09-01,0.71819
1984-10-01,-0.37969
1984-11-01,0.42204
1984-12-01,0.61836
1985-01-01,-0.02208
1985-02-01,-0.91100
1985-03-01,-0.47362
1985-04-01,1.71127
1985-05-01,2.34299
1985-06-01,-2.12980
1985-07-01,0.23447
1985-08-01,-0.07310
1985-09-01,0.44440
1985-10-01,0.51891
1985-11-01,0.22461
1985-12-01,0.61447
1986-01-01,0.06826
1986-02-01,0.51876
1986-03-01,1.02502
1986-04-01,0.40125
1986-05-01,0.12852
1986-06-01,-0.04923
1986-07-01,0.55238
1986-08-01,0.16445
1986-09-01,0.10480
1986-10-01,-0.05932
1986-11-01,0.07682
1986-12-01,0.18492
1987-01-01,0.28383
1987-02-01,0.53306
1987-03-01,0.10708
1987-04-01,-3.77323
1987-05-01,4.05027
1987-06-01,-0.13613
1987-07-01,0.29851
1987-08-01,0.43181
1987-09-01,0.00685
1987-10-01,0.62862
1987-11-01,0.37788
1987-12-01,0.90723
1988-01-01,0.22183
1988-02-01,0.55502
1988-03-01,0.39020
1988-04-01,0.35380
1988-05-01,0.14566
1988-06-01,0.38510
1988-07-01,0.40667
1988-08-01,0.30008
1988-09-01,0.14550
1988-10-01,0.55342
1988-11-01,0.04059
1988-12-01,0.55826
1989-01-01,0.45833
1989-02-01,0.31969
1989-03-01,0.51083
1989-04-01,-0.51939
1989-05-01,-0.46284
1989-06-01,0.27514
1989-07-01,0.39633
1989-08-01,0.25092
1989-09-01,0.26145
1989-10-01,0.46271
1989-11-01,0.11079
1989-12-01,0.02530
1990-01-01,0.62434
1990-02-01,0.24819
1990-03-01,-0.01567
1990-04-01,0.59865
1990-05-01,-0.21810
1990-06-01,0.22169
1990-07-01,0.35985
1990-08-01,-0.58673
1990-09-01,-0.01093
1990-10-01,-0.79325
1990-11-01,0.02676
1990-12-01,0.55705
1991-01-01,-0.32862
1991-02-01,0.15857
1991-03-01,0.17557
1991-04-01,0.34582
1991-05-01,0.00312
1991-06-01,0.51459
1991-07-01,-0.20323
1991-08-01,0.18965
1991-09-01,0.29015
1991-10-01,0.15935
1991-11-01,0.19617
1991-12-01,0.91726
1992-01-01,1.07085
1992-02-01,0.50784
1992-03-01,0.14587
1992-04-01,0.29732
1992-05-01,0.50154
1992-06-01,0.42902
1992-07-01,-0.07268
1992-08-01,0.33844
1992-09-01,-0.50003
1992-10-01,-0.64379
1992-11-01,0.05088
1992-12-01,3.54328
1993-01-01,-1.86630
1993-02-01,0.34591
1993-03-01,-0.33005
1993-04-01,0.46066
1993-05-01,-0.16701
1993-06-01,-0.20104
1993-07-01,0.23968
1993-08-01,0.14376
1993-09-01,-0.25780
1993-10-01,-0.53897
1993-11-01,0.28054
1993-12-01,3.41009
1994-01-01,-1.85528
1994-02-01,0.22487
1994-03-01,0.31845
1994-04-01,0.03174
1994-05-01,1.20445
1994-06-01,-0.18956
1994-07-01,0.08568
1994-08-01,0.14696
1994-09-01,0.41458
1994-10-01,0.92506
1994-11-01,-0.03233
1994-12-01,0.46547
1995-01-01,0.41992
1995-02-01,0.22442
1995-03-01,0.25034
1995-04-01,-0.76578
1995-05-01,0.98139
1995-06-01,0.30595
1995-07-01,0.20013
1995-08-01,0.08127
1995-09-01,0.32481
1995-10-01,0.11386
1995-11-01,0.27132
1995-12-01,0.11753
1996-01-01,0.15561
1996-02-01,0.77819
1996-03-01,0.33132
1996-04-01,-0.57554
1996-05-01,1.27976
1996-06-01,0.59833
1996-07-01,-0.26479
1996-08-01,0.24281
1996-09-01,0.23956
1996-10-01,-0.01328
1996-11-01,0.26292
1996-12-01,0.35229
1997-01-01,0.32862
1997-02-01,0.29597
1997-03-01,0.45773
1997-04-01,0.06789
1997-05-01,0.41228
1997-06-01,0.31574
1997-07-01,0.40411
1997-08-01,0.51472
1997-09-01,0.27337
1997-10-01,0.46973
1997-11-01,0.62041
1997-12-01,0.56341
1998-01-01,0.90773
1998-02-01,0.64878
1998-03-01,0.58262
1998-04-01,0.32660
1998-05-01,0.40661
1998-06-01,0.56646
1998-07-01,0.18127
1998-08-01,0.32788
1998-09-01,0.30865
1998-10-01,0.16652
1998-11-01,0.40838
1998-12-01,0.17397
1999-01-01,0.38565
1999-02-01,0.32571
1999-03-01,0.11416
1999-04-01,-0.19006
1999-05-01,0.20827
1999-06-01,0.34204
1999-07-01,0.11244
1999-08-01,0.42561
1999-09-01,-0.07181
1999-10-01,0.62439
1999-11-01,0.70715
1999-12-01,0.81961
2000-01-01,0.83716
2000-02-01,0.38766
2000-03-01,0.24947
2000-04-01,0.41247
