DATE,SPCS20RSA
2000-01-01,100.59
2000-02-01,101.69
2000-03-01,102.78
2000-04-01,104.00
2000-05-01,105.25
2000-06-01,106.40
2000-07-01,107.13
2000-08-01,107.86
2000-09-01,108.61
2000-10-01,109.49
2000-11-01,110.57
2000-12-01,111.80
2001-01-01,113.05
2001-02-01,114.13
2001-03-01,115.09
2001-04-01,115.84
2001-05-01,116.30
2001-06-01,116.90
2001-07-01,117.50
2001-08-01,118.25
2001-09-01,119.03
2001-10-01,119.69
2001-11-01,120.27
2001-12-01,120.67
2002-01-01,121.36
2002-02-01,122.19
2002-03-01,123.32
2002-04-01,124.51
2002-05-01,125.92
2002-06-01,127.39
2002-07-01,128.88
2002-08-01,130.31
2002-09-01,131.53
2002-10-01,132.85
2002-11-01,134.10
2002-12-01,135.40
2003-01-01,136.47
2003-02-01,137.46
2003-03-01,138.38
2003-04-01,139.25
2003-05-01,140.15
2003-06-01,140.92
2003-07-01,142.12
2003-08-01,143.55
2003-09-01,145.26
2003-10-01,146.99
2003-11-01,148.82
2003-12-01,150.76
2004-01-01,152.62
2004-02-01,154.54
2004-03-01,156.94
2004-04-01,159.35
2004-05-01,161.75
2004-06-01,164.30
2004-07-01,166.39
2004-08-01,168.07
2004-09-01,169.65
2004-10-01,171.29
2004-11-01,173.08
2004-12-01,175.08
2005-01-01,177.54
2005-02-01,180.26
2005-03-01,183.23
2005-04-01,185.51
2005-05-01,187.55
2005-06-01,189.53
2005-07-01,191.37
2005-08-01,193.37
2005-09-01,195.61
2005-10-01,197.87
2005-11-01,200.13
2005-12-01,202.16
2006-01-01,203.76
2006-02-01,205.37
2006-03-01,206.27
2006-04-01,206.65
2006-05-01,206.50
2006-06-01,205.80
2006-07-01,204.93
2006-08-01,204.09
2006-09-01,203.57
2006-10-01,203.52
2006-11-01,203.62
2006-12-01,203.45
2007-01-01,203.73
2007-02-01,204.07
2007-03-01,204.16
2007-04-01,202.88
2007-05-01,201.01
2007-06-01,198.84
2007-07-01,196.83
2007-08-01,194.86
2007-09-01,193.10
2007-10-01,190.94
2007-11-01,187.86
2007-12-01,185.06
2008-01-01,182.11
2008-02-01,178.54
2008-03-01,175.43
2008-04-01,172.44
2008-05-01,169.52
2008-06-01,167.16
2008-07-01,164.38
2008-08-01,162.06
2008-09-01,159.09
2008-10-01,156.26
2008-11-01,153.61
2008-12-01,150.69
2009-01-01,147.68
2009-02-01,145.59
2009-03-01,143.09
2009-04-01,141.57
2009-05-01,140.79
2009-06-01,141.26
2009-07-01,142.23
2009-08-01,143.42
2009-09-01,144.03
2009-10-01,144.75
2009-11-01,145.42
2009-12-01,146.19
2010-01-01,146.88
2010-02-01,146.89
2010-03-01,146.74
2010-04-01,147.09
2010-05-01,147.21
2010-06-01,146.99
2010-07-01,146.37
2010-08-01,145.46
2010-09-01,144.50
2010-10-01,143.56
2010-11-01,143.21
2010-12-01,142.90
2011-01-01,142.53
2011-02-01,142.04
2011-03-01,141.03
2011-04-01,140.75
2011-05-01,140.37
2011-06-01,140.29
2011-07-01,140.26
2011-08-01,139.94
2011-09-01,139.32
2011-10-01,138.56
2011-11-01,137.85
2011-12-01,137.29
2012-01-01,137.08
2012-02-01,137.04
2012-03-01,137.33
2012-04-01,137.98
2012-05-01,139.44
2012-06-01,140.94
2012-07-01,141.86
2012-08-01,142.77
2012-09-01,143.64
2012-10-01,144.65
2012-11-01,145.67
2012-12-01,147.00
2013-01-01,148.28
2013-02-01,149.71
2013-03-01,151.92
2013-04-01,154.09
2013-05-01,156.06
2013-06-01,157.73
2013-07-01,159.41
2013-08-01,161.19
2013-09-01,162.88
2013-10-01,164.50
2013-11-01,165.79
2013-12-01,166.78
2014-01-01,167.88
2014-02-01,168.83
2014-03-01,170.53
2014-04-01,170.37
2014-05-01,170.41
2014-06-01,170.40
2014-07-01,170.28
2014-08-01,170.32
2014-09-01,170.76
2014-10-01,171.91
2014-11-01,172.86
2014-12-01,174.08
2015-01-01,175.23
2015-02-01,176.95
2015-03-01,178.76
2015-04-01,178.45
2015-05-01,178.60
2015-06-01,178.64
2015-07-01,178.78
2015-08-01,178.97
2015-09-01,179.79
2015-10-01,181.17
2015-11-01,182.62
2015-12-01,183.76
2016-01-01,185.08
2016-02-01,186.41
2016-03-01,188.46
2016-04-01,188.03
2016-05-01,187.90
2016-06-01,187.75
2016-07-01,187.78
2016-08-01,188.23
