DATE,NETEXP_PCH
1947-04-01,3.66972
1947-07-01,4.42478
1947-10-01,-21.18644
1948-01-01,-21.50538
1948-04-01,-28.76712
1948-07-01,-5.76923
1948-10-01,-8.16327
1949-01-01,44.44444
1949-04-01,-3.07692
1949-07-01,-17.46032
1949-10-01,-42.30769
1950-01-01,-26.66667
1950-04-01,-27.27273
1950-07-01,-143.75000
1950-10-01,-71.42857
1951-01-01,-200.00000
1951-04-01,850.00000
1951-07-01,94.73684
1951-10-01,13.51351
1952-01-01,-11.90476
1952-04-01,-45.94595
1952-07-01,-100.00000
1952-10-01,.
1953-01-01,-30.00000
1953-04-01,85.71429
1953-07-01,-53.84615
1953-10-01,-50.00000
1954-01-01,33.33333
1954-04-01,-175.00000
1954-07-01,100.00000
1954-10-01,83.33333
1955-01-01,0.00000
1955-04-01,-118.18182
1955-07-01,-450.00000
1955-10-01,-71.42857
1956-01-01,100.00000
1956-04-01,375.00000
1956-07-01,36.84211
1956-10-01,73.07692
1957-01-01,6.66667
1957-04-01,-14.58333
1957-07-01,-2.43902
1957-10-01,-15.00000
1958-01-01,-67.64706
1958-04-01,-54.54545
1958-07-01,80.00000
1958-10-01,-133.33333
1959-01-01,-233.33333
1959-04-01,-100.00000
1959-07-01,.
1959-10-01,0.00000
1960-01-01,350.00000
1960-04-01,55.55556
1960-07-01,0.00000
1960-10-01,38.09524
1961-01-01,0.00000
1961-04-01,-5.17241
1961-07-01,-29.09091
1961-10-01,12.82051
1962-01-01,-9.09091
1962-04-01,45.00000
1962-07-01,-34.48276
1962-10-01,-26.31579
1963-01-01,39.28571
1963-04-01,66.66667
1963-07-01,-40.00000
1963-10-01,38.46154
1964-01-01,35.18519
1964-04-01,-2.73973
1964-07-01,-9.85915
1964-10-01,7.81250
1965-01-01,-33.33333
1965-04-01,63.04348
1965-07-01,-34.66667
1965-10-01,12.24490
1966-01-01,-20.00000
1966-04-01,18.18182
1966-07-01,-57.69231
1966-10-01,63.63636
