DATE,MKTGDPCNA646NWDB_PCH
1961-01-01,-16.26630
1962-01-01,-5.79508
1963-01-01,7.30880
1964-01-01,17.89508
1965-01-01,18.02657
1966-01-01,8.85147
1967-01-01,-5.03747
1968-01-01,-2.86375
1969-01-01,12.46590
1970-01-01,16.24439
1971-01-01,7.71075
1972-01-01,13.79618
1973-01-01,21.94196
1974-01-01,4.01029
1975-01-01,13.29147
1976-01-01,-5.91627
1977-01-01,13.66593
1978-01-01,-13.90603
1979-01-01,19.18992
1980-01-01,7.23381
1981-01-01,2.48830
1982-01-01,4.72327
1983-01-01,12.47881
1984-01-01,12.72414
1985-01-01,19.14020
1986-01-01,-2.82093
1987-01-01,-9.18858
1988-01-01,14.50985
1989-01-01,11.33980
1990-01-01,3.76224
1991-01-01,6.26272
1992-01-01,11.39830
1993-01-01,4.22196
1994-01-01,26.95719
1995-01-01,30.19432
1996-01-01,17.59650
1997-01-01,11.30464
1998-01-01,7.00483
1999-01-01,6.25882
2000-01-01,10.63049
2001-01-01,10.53499
2002-01-01,9.73340
2003-01-01,12.86144
2004-01-01,17.68664
2005-01-01,16.83296
2006-01-01,20.32907
2007-01-01,29.06128
2008-01-01,29.38714
2009-01-01,10.99037
2010-01-01,19.37453
2011-01-01,24.05390
2012-01-01,12.93560
2013-01-01,12.16054
2014-01-01,9.06696
2015-01-01,4.97852
