DATE,PAYEMS
1939-01-01,29923
1939-02-01,30101
1939-03-01,30280
1939-04-01,30094
1939-05-01,30300
1939-06-01,30502
1939-07-01,30419
1939-08-01,30663
1939-09-01,31032
1939-10-01,31408
1939-11-01,31469
1939-12-01,31539
1940-01-01,31603
1940-02-01,31715
1940-03-01,31826
1940-04-01,31700
1940-05-01,31880
1940-06-01,31978
1940-07-01,31942
1940-08-01,32352
1940-09-01,32810
1940-10-01,33265
1940-11-01,33668
1940-12-01,34172
1941-01-01,34480
1941-02-01,34844
1941-03-01,35094
1941-04-01,35469
1941-05-01,36182
1941-06-01,36651
1941-07-01,37137
1941-08-01,37544
1941-09-01,37835
1941-10-01,37948
1941-11-01,38024
1941-12-01,38104
1942-01-01,38347
1942-02-01,38513
1942-03-01,38936
1942-04-01,39352
1942-05-01,39772
1942-06-01,40028
1942-07-01,40471
1942-08-01,40988
1942-09-01,41255
1942-10-01,41515
1942-11-01,41673
1942-12-01,41915
1943-01-01,42172
1943-02-01,42395
1943-03-01,42553
1943-04-01,42647
1943-05-01,42596
1943-06-01,42781
1943-07-01,42701
1943-08-01,42546
1943-09-01,42485
1943-10-01,42675
1943-11-01,42820
1943-12-01,42746
1944-01-01,42655
1944-02-01,42544
1944-03-01,42292
1944-04-01,42063
1944-05-01,41985
1944-06-01,41947
1944-07-01,41905
1944-08-01,41850
1944-09-01,41672
1944-10-01,41709
1944-11-01,41712
1944-12-01,41861
1945-01-01,41897
1945-02-01,41904
1945-03-01,41796
1945-04-01,41443
1945-05-01,41304
1945-06-01,41149
1945-07-01,40873
1945-08-01,40467
1945-09-01,38500
1945-10-01,38599
1945-11-01,38997
1945-12-01,39112
1946-01-01,39832
1946-02-01,39251
1946-03-01,40193
1946-04-01,40909
1946-05-01,41349
1946-06-01,41733
1946-07-01,42153
1946-08-01,42643
1946-09-01,42909
1946-10-01,43094
1946-11-01,43397
1946-12-01,43379
1947-01-01,43539
1947-02-01,43563
1947-03-01,43606
1947-04-01,43492
1947-05-01,43638
1947-06-01,43808
1947-07-01,43743
1947-08-01,43959
1947-09-01,44201
1947-10-01,44415
1947-11-01,44487
1947-12-01,44579
1948-01-01,44682
1948-02-01,44537
1948-03-01,44681
1948-04-01,44370
1948-05-01,44795
1948-06-01,45033
1948-07-01,45160
1948-08-01,45176
1948-09-01,45295
1948-10-01,45251
1948-11-01,45194
1948-12-01,45029
1949-01-01,44671
1949-02-01,44500
1949-03-01,44238
1949-04-01,44230
1949-05-01,43982
1949-06-01,43739
1949-07-01,43529
1949-08-01,43622
