DATE,USD1MTD156N
2011-11-07,0.24778
2011-11-08,0.24778
2011-11-09,0.24778
2011-11-10,0.24789
2011-11-11,0.24900
2011-11-14,0.25022
2011-11-15,0.25172
2011-11-16,0.25172
2011-11-17,0.25478
2011-11-18,0.25656
2011-11-21,0.25667
2011-11-22,0.25722
2011-11-23,0.25722
2011-11-24,0.25722
2011-11-25,0.25944
2011-11-28,0.26000
2011-11-29,0.27022
2011-11-30,0.27144
2011-12-01,0.27144
2011-12-02,0.27033
2011-12-05,0.27410
2011-12-06,0.27505
2011-12-07,0.27630
2011-12-08,0.27630
2011-12-09,0.27655
2011-12-12,0.27755
2011-12-13,0.27830
2011-12-14,0.28255
2011-12-15,0.28460
2011-12-16,0.28485
2011-12-19,0.28735
2011-12-20,0.29060
2011-12-21,0.29185
2011-12-22,0.29360
2011-12-23,0.29395
2011-12-26,.
2011-12-27,.
2011-12-28,0.29630
2011-12-29,0.29530
2011-12-30,0.29530
2012-01-02,.
2012-01-03,0.29530
2012-01-04,0.29530
2012-01-05,0.29530
2012-01-06,0.29630
2012-01-09,0.29630
2012-01-10,0.29580
2012-01-11,0.29470
2012-01-12,0.28960
2012-01-13,0.28510
2012-01-16,0.28160
2012-01-17,0.28100
2012-01-18,0.28090
2012-01-19,0.27890
2012-01-20,0.27730
2012-01-23,0.27630
2012-01-24,0.27530
2012-01-25,0.27280
2012-01-26,0.27050
2012-01-27,0.27000
2012-01-30,0.26775
2012-01-31,0.26475
2012-02-01,0.26400
2012-02-02,0.26250
2012-02-03,0.26050
2012-02-06,0.25975
2012-02-07,0.25700
2012-02-08,0.25475
2012-02-09,0.25350
2012-02-10,0.25050
2012-02-13,0.24850
2012-02-14,0.24750
2012-02-15,0.24600
2012-02-16,0.24550
2012-02-17,0.24550
2012-02-20,0.24550
2012-02-21,0.24550
2012-02-22,0.24450
2012-02-23,0.24400
2012-02-24,0.24400
2012-02-27,0.24400
2012-02-28,0.24400
2012-02-29,0.24350
2012-03-01,0.24300
2012-03-02,0.24275
2012-03-05,0.24275
2012-03-06,0.24275
2012-03-07,0.24275
2012-03-08,0.24175
2012-03-09,0.24175
2012-03-12,0.24175
2012-03-13,0.24175
2012-03-14,0.24175
2012-03-15,0.24175
2012-03-16,0.24175
2012-03-19,0.24175
2012-03-20,0.24175
2012-03-21,0.24175
2012-03-22,0.24175
2012-03-23,0.24125
2012-03-26,0.24125
2012-03-27,0.24125
2012-03-28,0.24125
2012-03-29,0.24125
2012-03-30,0.24125
2012-04-02,0.24125
2012-04-03,0.24125
2012-04-04,0.24125
2012-04-05,0.24125
2012-04-06,.
2012-04-09,.
2012-04-10,0.24025
2012-04-11,0.24025
2012-04-12,0.24025
2012-04-13,0.23975
2012-04-16,0.23975
2012-04-17,0.23975
2012-04-18,0.23975
2012-04-19,0.23975
2012-04-20,0.23975
2012-04-23,0.23875
2012-04-24,0.23875
2012-04-25,0.23875
2012-04-26,0.23875
2012-04-27,0.23875
2012-04-30,0.23875
2012-05-01,0.23875
2012-05-02,0.23875
2012-05-03,0.23875
2012-05-04,0.23875
2012-05-07,.
2012-05-08,0.23875
2012-05-09,0.23875
2012-05-10,0.23875
2012-05-11,0.23875
2012-05-14,0.23875
2012-05-15,0.23875
2012-05-16,0.23975
2012-05-17,0.23975
2012-05-18,0.23975
2012-05-21,0.23975
2012-05-22,0.23875
2012-05-23,0.23875
2012-05-24,0.23875
2012-05-25,0.23875
2012-05-28,0.23875
2012-05-29,0.23875
2012-05-30,0.23875
2012-05-31,0.23875
2012-06-01,0.23975
2012-06-04,.
2012-06-05,.
2012-06-06,0.24075
2012-06-07,0.24075
2012-06-08,0.24075
2012-06-11,0.24075
2012-06-12,0.24075
2012-06-13,0.24175
2012-06-14,0.24275
2012-06-15,0.24275
2012-06-18,0.24375
2012-06-19,0.24375
2012-06-20,0.24525
2012-06-21,0.24525
2012-06-22,0.24525
2012-06-25,0.24525
2012-06-26,0.24525
2012-06-27,0.24525
2012-06-28,0.24525
2012-06-29,0.24575
2012-07-02,0.24475
2012-07-03,0.24575
2012-07-04,0.24575
2012-07-05,0.24575
2012-07-06,0.24575
2012-07-09,0.24875
2012-07-10,0.24875
2012-07-11,0.24875
2012-07-12,0.24875
2012-07-13,0.24775
2012-07-16,0.24775
2012-07-17,0.24675
2012-07-18,0.24675
2012-07-19,0.24675
2012-07-20,0.24675
2012-07-23,0.24620
2012-07-24,0.24420
2012-07-25,0.24420
2012-07-26,0.24520
2012-07-27,0.24570
2012-07-30,0.24570
2012-07-31,0.24570
2012-08-01,0.24470
2012-08-02,0.24425
2012-08-03,0.24375
2012-08-06,0.24325
2012-08-07,0.24125
2012-08-08,0.24025
2012-08-09,0.23925
2012-08-10,0.23975
2012-08-13,0.23950
2012-08-14,0.23850
2012-08-15,0.23800
2012-08-16,0.23700
2012-08-17,0.23700
2012-08-20,0.23600
2012-08-21,0.23750
2012-08-22,0.23650
2012-08-23,0.23550
2012-08-24,0.23450
