DATE,BUSLOANS_PCH
1947-02-01,2.02402
1947-03-01,2.16012
1947-04-01,2.21133
1947-05-01,2.09447
1947-06-01,1.66466
1947-07-01,2.37760
1947-08-01,2.36463
1947-09-01,2.06464
1947-10-01,2.07006
1947-11-01,1.98918
1947-12-01,2.19787
1948-01-01,1.40511
1948-02-01,1.10101
1948-03-01,1.24901
1948-04-01,1.25259
1948-05-01,1.12189
1948-06-01,0.78291
1948-07-01,0.35949
1948-08-01,-0.38309
1948-09-01,-0.42204
1948-10-01,-0.35187
1948-11-01,-0.31998
1948-12-01,-0.07577
1949-01-01,-0.72765
1949-02-01,-0.92460
1949-03-01,-0.84734
1949-04-01,-1.00395
1949-05-01,-1.16708
1949-06-01,-1.44226
1949-07-01,-0.83035
1949-08-01,-0.70037
1949-09-01,-0.70674
1949-10-01,-0.62931
1949-11-01,-0.60273
1949-12-01,-0.43281
1950-01-01,0.39424
1950-02-01,1.07258
1950-03-01,1.14094
1950-04-01,1.13810
1950-05-01,0.99207
1950-06-01,0.95496
1950-07-01,2.66333
1950-08-01,3.56301
1950-09-01,3.33388
1950-10-01,3.18140
1950-11-01,3.05817
1950-12-01,2.95612
1951-01-01,2.58926
1951-02-01,2.43323
1951-03-01,2.47495
1951-04-01,2.50479
1951-05-01,2.34569
1951-06-01,2.31137
1951-07-01,1.23881
1951-08-01,0.57430
1951-09-01,0.54156
1951-10-01,0.62410
1951-11-01,0.61926
1951-12-01,1.12285
1952-01-01,5.56242
1952-02-01,1.35415
1952-03-01,-0.24653
1952-04-01,-1.06497
1952-05-01,-0.94272
1952-06-01,0.56181
1952-07-01,0.42444
1952-08-01,1.11803
1952-09-01,1.35306
1952-10-01,1.63812
1952-11-01,1.62559
1952-12-01,-0.91070
1953-01-01,1.02755
1953-02-01,0.65577
1953-03-01,0.32046
1953-04-01,0.52535
1953-05-01,0.25144
1953-06-01,-0.51083
1953-07-01,0.07365
1953-08-01,0.91218
1953-09-01,0.07793
1953-10-01,-0.13034
1953-11-01,-0.46909
1953-12-01,-2.93842
1954-01-01,-0.67937
1954-02-01,-0.25727
1954-03-01,-0.10892
1954-04-01,-0.55960
1954-05-01,-0.56714
1954-06-01,-0.68595
1954-07-01,-0.33268
1954-08-01,0.01426
1954-09-01,0.17066
1954-10-01,0.43682
1954-11-01,0.51774
1954-12-01,-0.69353
1955-01-01,1.17756
1955-02-01,0.81785
1955-03-01,0.85907
1955-04-01,0.79655
1955-05-01,1.43845
1955-06-01,1.69433
1955-07-01,1.72583
1955-08-01,1.78054
1955-09-01,1.61920
1955-10-01,1.52717
1955-11-01,2.66283
1955-12-01,1.04272
1956-01-01,1.71245
1956-02-01,1.77672
1956-03-01,3.15479
1956-04-01,2.65029
1956-05-01,1.17774
1956-06-01,2.13669
1956-07-01,1.52728
1956-08-01,1.17265
1956-09-01,1.15681
1956-10-01,1.41326
1956-11-01,1.16465
1956-12-01,0.65745
1957-01-01,0.65901
1957-02-01,0.00765
1957-03-01,1.07435
1957-04-01,1.04386
1957-05-01,0.75062
1957-06-01,1.25876
1957-07-01,0.92573
1957-08-01,0.64349
1957-09-01,-0.14077
1957-10-01,-0.36964
1957-11-01,-0.25334
1957-12-01,-1.30256
1958-01-01,2.40075
1958-02-01,0.47120
1958-03-01,-0.31409
1958-04-01,-0.52082
1958-05-01,-0.38847
1958-06-01,-0.48116
1958-07-01,-0.25881
1958-08-01,0.52102
1958-09-01,0.47292
1958-10-01,0.66071
1958-11-01,0.47134
1958-12-01,0.09537
1959-01-01,0.75567
1959-02-01,0.02016
1959-03-01,-0.25468
1959-04-01,1.21746
1959-05-01,2.10444
1959-06-01,2.29712
1959-07-01,1.41113
1959-08-01,1.12706
1959-09-01,0.45026
1959-10-01,0.39414
1959-11-01,0.74587
1959-12-01,1.53859
1960-01-01,0.85486
1960-02-01,0.39895
1960-03-01,0.58009
1960-04-01,1.24244
1960-05-01,0.93150
1960-06-01,1.13419
1960-07-01,0.09527
