DATE,GFDEBTN_PCH
1966-04-01,-1.52711
1966-07-01,2.73682
1966-10-01,1.40755
1967-01-01,0.49435
1967-04-01,-2.43362
1967-07-01,4.02703
1967-10-01,2.61003
1968-01-01,1.39557
1968-04-01,-1.17434
1968-07-01,2.71420
1968-10-01,0.92630
1969-01-01,0.42371
1969-04-01,-1.84983
1969-07-01,2.20746
1969-10-01,2.09074
1970-01-01,1.02682
1970-04-01,-0.51424
1970-07-01,2.31941
1970-10-01,2.76752
1971-01-01,0.64498
1971-04-01,1.43923
1971-07-01,3.76612
1971-10-01,2.87750
1972-01-01,0.75755
1972-04-01,-0.21271
1972-07-01,1.76135
1972-10-01,3.34765
1973-01-01,2.25944
1973-04-01,-0.28107
1973-07-01,0.72094
1973-10-01,1.83646
1974-01-01,0.98108
1974-04-01,0.11822
1974-07-01,1.52477
1974-10-01,2.32581
1975-01-01,3.44961
1975-04-01,4.61662
1975-07-01,3.83711
1975-10-01,4.15463
1976-01-01,4.13440
1976-04-01,3.32095
1976-07-01,2.29985
1976-10-01,2.96864
1977-01-01,2.39678
1977-04-01,0.77973
1977-07-01,3.62012
1977-10-01,2.87662
1978-01-01,2.64388
1978-04-01,1.50051
1978-07-01,3.00658
1978-10-01,2.28931
1979-01-01,0.96109
1979-04-01,1.01921
1979-07-01,2.68427
1979-10-01,2.25004
1980-01-01,2.16952
1980-04-01,1.64028
1980-07-01,3.42827
1980-10-01,2.47978
1981-01-01,3.68960
1981-04-01,0.68873
1981-07-01,2.74729
1981-10-01,3.09404
1982-01-01,3.16604
1982-04-01,1.72722
1982-07-01,5.78022
1982-10-01,4.81938
1983-01-01,3.96124
1983-04-01,6.03362
1983-07-01,4.36730
1983-10-01,2.43180
1984-01-01,3.75976
1984-04-01,3.34458
1984-07-01,3.93800
1984-10-01,5.76868
1985-01-01,2.87228
1985-04-01,3.73577
1985-07-01,2.73086
1985-10-01,6.73791
1986-01-01,2.10047
1986-04-01,3.65072
1986-07-01,3.20271
1986-10-01,4.21262
1987-01-01,1.43979
1987-04-01,2.78503
1987-07-01,1.77461
1987-10-01,3.46504
1988-01-01,2.29616
1988-04-01,2.41623
1988-07-01,2.14028
1988-10-01,3.15923
1989-01-01,2.10498
1989-04-01,2.15349
1989-07-01,2.05391
1989-10-01,3.34437
1990-01-01,3.35131
1990-04-01,3.00777
1990-07-01,2.84879
1990-10-01,4.06725
1991-01-01,2.98289
1991-04-01,2.10087
1991-07-01,3.59851
1991-10-01,3.72125
1992-01-01,2.09354
1992-04-01,2.66324
1992-07-01,2.00682
1992-10-01,2.76503
1993-01-01,1.28252
1993-04-01,2.86887
1993-07-01,1.36810
1993-10-01,2.81533
1994-01-01,0.88591
1994-04-01,1.52830
1994-07-01,1.01055
1994-10-01,2.28864
1995-01-01,1.33258
1995-04-01,1.79387
1995-07-01,0.45666
1995-10-01,0.29518
1996-01-01,2.58829
1996-04-01,0.84587
1996-07-01,1.23492
1996-10-01,1.88258
1997-01-01,1.08428
1997-04-01,-0.08807
1997-07-01,0.68813
1997-10-01,1.64862
1998-01-01,0.72765
1998-04-01,0.09940
1998-07-01,-0.39189
1998-10-01,1.59285
1999-01-01,0.66613
1999-04-01,-0.22710
1999-07-01,0.31019
1999-10-01,2.11836
2000-01-01,-0.04673
2000-04-01,-1.51478
2000-07-01,-0.20681
2000-10-01,-0.21083
2001-01-01,1.96962
2001-04-01,-0.81273
2001-07-01,1.40827
2001-10-01,2.34138
2002-01-01,1.05314
2002-04-01,2.00527
2002-07-01,1.66110
2002-10-01,2.84946
2003-01-01,0.85969
2003-04-01,3.24025
2003-07-01,1.69711
2003-10-01,3.16429
2004-01-01,1.90204
2004-04-01,2.00905
2004-07-01,1.43955
2004-10-01,2.94198
2005-01-01,2.38010
2005-04-01,0.76582
2005-07-01,1.22777
2005-10-01,2.99649
2006-01-01,2.45695
2006-04-01,0.58398
2006-07-01,1.03244
2006-10-01,2.03656
2007-01-01,1.95203
2007-04-01,0.20353
2007-07-01,1.57850
2007-10-01,2.45923
2008-01-01,2.25830
2008-04-01,0.57655
2008-07-01,5.61229
2008-10-01,6.73415
2009-01-01,3.99200
2009-04-01,3.75965
2009-07-01,3.15759
2009-10-01,3.37134
2010-01-01,3.75080
2010-04-01,3.35602
2010-07-01,2.72561
2010-10-01,3.41842
2011-01-01,1.74613
2011-04-01,0.51137
2011-07-01,3.11825
2011-10-01,2.92488
2012-01-01,2.51974
2012-04-01,1.59241
2012-07-01,1.33209
2012-10-01,2.28112
2013-01-01,2.06083
2013-04-01,-0.19713
2013-07-01,-0.00084
2013-10-01,2.49692
2014-01-01,2.59446
2014-04-01,0.17828
2014-07-01,1.08586
2014-10-01,1.78059
2015-01-01,0.05850
2015-04-01,-0.00032
2015-07-01,-0.00760
2015-10-01,4.25088
2016-01-01,1.81142
2016-04-01,0.60551
