total_population,p_15_60_mf,health_per_capita,country,gnipc,life_ex_birth_mf,p_dying_five,expend_health_GDP
"32,527,000",252/232,167,Afghanistan,2,59/62, ,8.2
"359,000",145/78,489,Belize,8,68/73, ,5.8
"11,299,000",98/57,"4,392",Belgium,40,79/84, ,10.6
"9,496,000",299/100,"1,031",Belarus,16,66/78, ,5.7
"284,000",116/65,"1,014",Barbados,"15,080",73/78, ,7.5
"160,996,000",156/126,88,Bangladesh,2,71/73, ,2.8
"1,377,000",70/54,"2,273",Bahrain,"36,140",76/78, ,5.0
"388,000",141/88,"1,819",Bahamas,"21,540",73/79, ,7.7
"9,754,000",167/83,"1,047",Azerbaijan,16,70/76, ,6.0
"8,545,000",91/46,"5,039",Austria,43,79/84, ,11.2
"23,969,000",78/45,"4,357",Australia,42,81/85, ,9.4
"3,018,000",227/95,362,Armenia,8,72/78, ,4.5
"43,417,000",151/83,"1,137",Argentina, ,73/80, ,4.8
"92,000",201/145,"1,208",Antigua and Barbuda,20,74/79, ,5.5
"25,022,000",372/322,239,Angola,6,51/54, ,3.3
"70,000",90/43,"4,273",Andorra, ,not available, ,8.1
"15,603,000",385/288,115,Zimbabwe,1,59/62, ,6.4
"16,212,000",356/303,195,Zambia,3,59/65, ,5.0
"26,832,000",255/211,202,Yemen,3,64/67, ,5.6
"93,448,000",189/69,390,Viet Nam,5,71/81, ,7.1
"31,108,000",198/88,923,Venezuela (Bolivarian Republic of),17,70/78, ,5.3
"265,000",161/113,150,Vanuatu,2,70/74, ,5.0
"29,894,000",210/130,340,Uzbekistan,5,66/73, ,5.8
"3,432,000",148/79,"1,792",Uruguay,18,73/80, ,8.6
"321,774,000",128/76,"9,403",United States of America,53,77/82, ,17.1
"53,470,000",314/244,137,United Republic of Tanzania,1,60/64, ,5.6
"64,716,000",88/55,"3,377",United Kingdom,35,79/83, ,9.1
"9,157,000",84/59,"2,405",United Arab Emirates,"58,090",76/79, ,3.6
"44,824,000",295/114,584,Ukraine,8,66/76, ,7.1
"39,032,000",380/307,133,Uganda,1,60/64, ,7.2
"10,000",236/182,585,Tuvalu,5,not available, ,16.5
"5,374,000",376/200,320,Turkmenistan,12,62/70, ,2.1
"78,666,000",147/73,"1,036",Turkey,18,73/79, ,5.4
"11,254,000",130/69,785,Tunisia,10,73/78, ,7.0
"1,360,000",229/129,"1,816",Trinidad and Tobago,26,68/75, ,5.9
"106,000",115/245,270,Tonga,5,71/76, ,5.2
"7,305,000",323/279,76,Togo,1,59/61, ,5.2
"1,185,000",208/164,102,Timor-Leste,6,67/70, ,1.5
"2,078,000",134/71,851,The former Yugoslav Republic of Macedonia,11,74/78, ,6.5
"67,959,000",177/90,950,Thailand,13,72/78, ,6.5
"8,482,000",176/153,185,Tajikistan,2,67/74, ,6.9
"18,502,000",116/73,376,Syrian Arab Republic, ,60/70, ,3.2
"8,299,000",66/40,"6,468",Switzerland,56,81/85, ,11.7
"9,779,000",69/43,"5,219",Sweden,44,81/84, ,11.9
"1,287,000",515/496,587,Swaziland,6,57/61, ,9.2
"543,000",171/94,979,Suriname,15,69/75, ,5.7
"40,235,000",274/212,282,Sudan,2,62/66, ,8.4
"20,715,000",184/75,369,Sri Lanka,9,72/78, ,3.5
"46,122,000",86/40,"2,966",Spain,31,80/86, ,9.0
"12,340,000",353/323,73,South Sudan,2,56/59, ,2.7
"54,490,000",441/320,"1,148",South Africa,12,59/66, ,8.8
"10,787,000",339/289, ,Somalia, ,54/57, , 
"584,000",203/162,108,Solomon Islands,1,68/71, ,5.0
"2,068,000",112/49,"2,698",Slovenia,28,78/84, ,9.2
"5,426,000",168/67,"2,179",Slovakia,25,73/80, ,8.1
"5,604,000",69/38,"4,047",Singapore,76,80/86, ,4.9
"6,453,000",444/423,224,Sierra Leone,1,49/51, ,11.1
"96,000",214/99,844,Seychelles,23,69/78, ,3.4
"8,851,000",172/84,"1,312",Serbia,12,73/78, ,10.4
"15,129,000",244/192,107,Senegal,2,65/69, ,4.7
"31,540,000",89/67,"2,466",Saudi Arabia,53,73/76, ,4.7
"190,000",221/168,300,Sao Tome and Principe,2,66/69, ,8.3
"32,000",54/46,"3,390",San Marino, ,not available, ,6.1
"193,000",166/97,418,Samoa,4,71/78, ,7.2
"110,000",169/110,917,Saint Vincent and the Grenadines,10,71/75, ,8.6
"185,000",177/85,698,Saint Lucia,10,73/78, ,6.7
"56,000",165/79,"1,152",Saint Kitts and Nevis,20,not available, ,5.1
"11,610,000",246/196,125,Rwanda,1,61/71, ,7.5
"143,457,000",339/126,"1,836",Russian Federation,23,65/76, ,7.1
"19,511,000",205/81,"1,079",Romania,18,71/79, ,5.6
"4,069,000",277/106,514,Republic of Moldova,5,68/76, ,10.3
"50,293,000",93/38,"2,531",Republic of Korea,33,79/86, ,7.4
"2,235,000",72/50,"3,071",Qatar,123,77/80, ,2.2
"10,350,000",111/48,"2,690",Portugal,25,78/84, ,9.5
"38,612,000",186/70,"1,570",Poland,22,74/81, ,6.3
"100,699,000",255/136,329,Philippines,7,65/72, ,4.7
"31,377,000",116/90,656,Peru,11,73/78, ,5.5
"6,639,000",178/96,873,Paraguay,7,72/76, ,9.8
"7,619,000",319/243,109,Papua New Guinea,2,61/65, ,4.3
"3,929,000",149/81,"1,677",Panama,19,75/81, ,8.0
"21,000",156/106,"1,429",Palau,14,not available, ,9.0
"188,925,000",189/155,129,Pakistan,4,66/68, ,2.6
"4,490,000",116/73,"1,442",Oman,"52,170",75/79, ,3.5
"5,211,000",73/47,"6,347",Norway,66,80/84, ,9.7
"2,000",164/84,887,Niue, ,not available, ,7.5
"182,202,000",357/325,217,Nigeria,5,53/56, ,3.7
"19,899,000",252/241,54,Niger,910,61/63, ,5.8
"6,082,000",200/116,445,Nicaragua,4,72/78, ,9.0
"4,528,000",80/52,"4,018",New Zealand,"30,750",80/83, ,11.0
"16,925,000",69/54,"5,202",Netherlands,43,80/84, ,10.9
"28,514,000",192/159,137,Nepal,2,68/71, ,5.8
"10,000",88/44,512,Nauru, ,not available, ,3.3
"2,459,000",255/177,869,Namibia,9,63/68, ,8.9
"53,897,000",240/183,103,Myanmar, ,65/68, ,2.3
"27,978,000",438/432,79,Mozambique,1,56/59, ,7.0
"34,378,000",170/121,447,Morocco,7,73/75, ,5.9
