"","Category","name","member","Location","FoundedDate","Group.reviews","Past.Meetups","Upcoming.Meetups","UpcommingEventName","UpcommingEventGoing","UpcommingEventDate","UpcommingEventTime","url","U_e_wd","U_temp_time"
"1","Outdoors & Adventure","Hudson Valley Hikers",23823,"New York, NY",2008-12-15,587,5751,73,"Maine Cabin Getaway! Hike, Ski, Snowshoe, Relax / 4 Days -- Thanksgiving dinner!",4,2016-11-23,"04:00 PM","https://www.meetup.com/hvhikers/","Wed","16:00:00"
"2","Outdoors & Adventure","Shorewalkers",6403,"New York, NY",2008-06-02,176,1239,10,"Manhattan and Brooklyn: Canstruction, Statues & Outdoor Monuments",31,2016-11-12,"10:00 AM","https://www.meetup.com/Shorewalkers/","Sat","10:00:00"
"3","Outdoors & Adventure","Appalachian Mountain Club New York-North Jersey",6935,"New York, NY",2012-10-29,129,1009,35,"8 Mile Breakneck and Sugarloaf Hike",29,2016-11-12,"09:00 AM","https://www.meetup.com/Appalachian-Mountain-Club-New-York-North-Jersey/","Sat","09:00:00"
"4","Outdoors & Adventure","Hiking & Nature Meetup",8245,"New York, NY",2007-08-08,206,1080,15,"Harriman backpack overnight to Tom Jones, ~21 miles (via car or public transit)",1,2016-11-12,"09:00 AM","https://www.meetup.com/New-York-City-Hiking/","Sat","09:00:00"
"5","Outdoors & Adventure","NYC Chill Hiking, Camping, and Other Activities",7651,"New York, NY",2012-09-26,11,381,8,"Not So Urban Athletics: Hike Island Pond and the Lemon Squeezer",8,2016-12-03,"09:45 AM","https://www.meetup.com/NYC-Chill-Hiking-Camping-Meetup/","Sat","09:45:00"
"6","Outdoors & Adventure","NY Ski & Snowboard Club",3249,"New York, NY",2012-12-18,32,170,10,"Pre-Christmas Weekend Ski Trip @ Killington (2 Nights 2 Lifts + Bus) $249",18,2016-12-16,"04:00 PM","https://www.meetup.com/NY-Ski-Snowboard-Club/","Fri","16:00:00"
"7","Outdoors & Adventure","NYC Outdoors Club",3831,"New York, NY",2012-04-09,40,586,8,"JAMAICA TO ST. JOHN?ôS",11,2016-11-12,"10:30 AM","https://www.meetup.com/outdoorsclubny/","Sat","10:30:00"
"8","Outdoors & Adventure","Formula 1 NYC Meetup",2116,"New York, NY",2008-03-02,112,190,2,"2016 Brazilian Grand Prix",25,2016-11-13,"10:30 AM","https://www.meetup.com/formula1NYC/","Sun","10:30:00"
"9","Outdoors & Adventure","BLAZE >> Backpacking Gay Men of NYC",1938,"New York, NY",2008-09-24,65,300,4,"8th Annual Winter Weekend in Stratton, VT",50,2016-01-27,"08:00 PM","https://www.meetup.com/blazenyc/","Fri","20:00:00"
"10","Outdoors & Adventure","NYC Cycling & Food",2228,"Brooklyn, NY",2006-07-25,20,143,4,"Bronx Cranksgiving!",2,2016-11-12,"01:00 PM","https://www.meetup.com/nyc-bike-food/","Sat","13:00:00"
