,Category,FoundedDate,Group reviews,Location,Past Meetups,Region,Upcoming Meetups,UpcommingEventDate,UpcommingEventGoing,UpcommingEventName,UpcommingEventTime,Worldwide,group,member,name
0,Outdoors & Adventure,Dec 15 2008 ,587,New York,"5,751",NY,73,Wed Nov 23,4 going,"Maine Cabin Getaway! Hike, Ski, Snowshoe, Relax / 4 Days -- Thanksgiving dinner!",04:00 PM,,Hudson Valley Hikers,"23,823",Hudson Valley Hikers
1,Outdoors & Adventure,Jun 2 2008 ,176,New York,"1,239",NY,10,Sat Nov 12,31 going,"Manhattan and Brooklyn: Canstruction, Statues & Outdoor Monuments",10:00 AM,,Shorewalkers,"6,403",Shorewalkers
2,Outdoors & Adventure,Oct 29 2012 ,129,New York,"1,009",NY,35,Sat Nov 12,29 going,8 Mile Breakneck and Sugarloaf Hike,09:00 AM,,AMCers,"6,935",Appalachian Mountain Club New York-North Jersey
3,Outdoors & Adventure,Oct 6 2013 ,27,New York,422,NY,128,,,,,,Members,"1,558","Asian NYC, Hiking, Greater Outdoors, Random Events"
4,Outdoors & Adventure,Aug 8 2007 ,206,New York,"1,080",NY,15,Sat Nov 12,1 going,"Harriman backpack overnight to Tom Jones, ~21 miles (via car or public transit)",09:00 AM,,Hikers,"8,245",Hiking & Nature Meetup
5,Outdoors & Adventure,Nov 3 2011 ,8,New York,261,NY,32,,,,,,Skiers & Snowboarders,"1,995",SkiCouncilMeetup.com - NYC metro Ski & Snowboard club trips
6,Outdoors & Adventure,Sep 26 2012 ,11,New York,381,NY,8,Sat Dec 3,8 going,Not So Urban Athletics: Hike Island Pond and the Lemon Squeezer,09:45 AM,,Adventurers,"7,651","NYC Chill Hiking, Camping, and Other Activities"
7,Outdoors & Adventure,Dec 18 2012 ,32,New York,170,NY,10,Fri Dec 16,18 going,Pre-Christmas Weekend Ski Trip @ Killington (2 Nights 2 Lifts + Bus) $249,04:00 PM,,Skiers/Boarders,"3,249",NY Ski & Snowboard Club
8,Outdoors & Adventure,Apr 9 2012 ,40,New York,586,NY,8,Sat Nov 12,11 going,JAMAICA TO ST. JOHN?ôS,10:30 AM,,city walkers,"3,831",NYC Outdoors Club
9,Outdoors & Adventure,Mar 2 2008 ,112,New York,190,NY,2,Sun Nov 13,25 going,2016 Brazilian Grand Prix,10:30 AM,,Formula 1 Fans,"2,116",Formula 1 NYC Meetup
10,Outdoors & Adventure,Sep 2 2010 ,55,Brooklyn,362,NY,5,,,,,,Members,"1,223",NYC Sport Bike Riders
11,Outdoors & Adventure,Sep 24 2008 ,65,New York,300,NY,4,Fri Jan 27,50 going,"8th Annual Winter Weekend in Stratton, VT",08:00 PM,,Backpackers,"1,938",BLAZE >> Backpacking Gay Men of NYC
12,Outdoors & Adventure,Mar 25 2015 ,17,New York,220,NY,13,,,,,,MOBsters,"3,156",NYC Mountain & Outdoor Bound
