peak_position,song,current_week,artist,wks_on_chart,last_week
74,Love On The Brain,74,"
                                Rihanna
                            ",3,"Last Week: 80,80"
75,On The Regular,75,"
                                Meek Mill
                            ",1,"Last Week: --,--"
70,Key To The Streets,76,"
                                YFN Lucci Featuring Migos & Trouble
                            ",7,"Last Week: 73,73"
32,Hallelujah,77,"
                                Pentatonix
                            ",2,"Last Week: 32,32"
67,HandClap,78,"
                                Fitz And The Tantrums
                            ",6,"Last Week: 75,75"
74,Fresh Eyes,79,"
                                Andy Grammer
                            ",5,"Last Week: 74,74"
68,Mercy,80,"
                                Shawn Mendes
                            ",7,"Last Week: 83,83"
44,It Don't Hurt Like It Used To,81,"
                                Billy Currington
                            ",15,"Last Week: 71,71"
52,I Know Somebody,82,"
                                LoCash
                            ",10,"Last Week: 59,59"
78,Capsize,83,"
                                Frenship & Emily Warren
                            ",6,"Last Week: 81,81"
84,The Difference,84,"
                                Meek Mill Featuring Quavo
                            ",1,"Last Week: --,--"
85,Say You Won't Let Go,85,"
                                James Arthur
                            ",2,"Last Week: 100,100"
69,Shout Out To My Ex,86,"
                                Little Mix
                            ",2,"Last Week: 69,69"
79,All Eyez,87,"
                                The Game Featuring Jeremih
                            ",4,"Last Week: 84,84"
88,Star Of The Show,88,"
                                Thomas Rhett
                            ",1,"Last Week: --,--"
89,How I'll Always Be,89,"
                                Tim McGraw
                            ",3,"Last Week: 89,89"
85,Ain't My Fault,90,"
                                Zara Larsson
                            ",4,"Last Week: 86,86"
77,Wishing,91,"
                                DJ Drama Featuring Chris Brown, Skeme & Lyquin
                            ",12,"Last Week: 82,82"
92,80s Mercedes,92,"
                                Maren Morris
                            ",3,"Last Week: 93,93"
93,Blue Notes,93,"
                                Meek Mill
                            ",1,"Last Week: --,--"
92,My Sh*t,94,"
                                A Boogie Wit da Hoodie
                            ",3,"Last Week: 92,92"
95,What They Want,95,"
                                Russ
                            ",2,"Last Week: 99,99"
96,Chantaje,96,"
                                Shakira Featuring Maluma
                            ",1,"Last Week: --,--"
97,Blessed Up,97,"
                                Meek Mill
                            ",1,"Last Week: --,--"
55,Love Me Now,98,"
                                John Legend
                            ",2,"Last Week: --,--"
66,"Wat U Mean (Aye, Aye, Aye)",99,"
                                Dae Dae
                            ",16,"Last Week: 87,87"
84,Cool Girl,100,"
                                Tove Lo
                            ",5,"Last Week: --,--"
