peak_position,song,current_week,artist,wks_on_chart,last_week
1,Closer,1,"
                                The Chainsmokers Featuring Halsey
                            ",14,"Last Week: 1,1"
2,Starboy,2,"
                                The Weeknd Featuring Daft Punk
                            ",7,"Last Week: 2,2"
2,Heathens,3,"
                                twenty one pilots
                            ",20,"Last Week: 3,3"
4,Let Me Love You,4,"
                                DJ Snake Featuring Justin Bieber
                            ",13,"Last Week: 4,4"
5,Broccoli,5,"
                                D.R.A.M. Featuring Lil Yachty
                            ",21,"Last Week: 5,5"
6,Side To Side,6,"
                                Ariana Grande Featuring Nicki Minaj
                            ",10,"Last Week: 7,7"
5,24K Magic,7,"
                                Bruno Mars
                            ",4,"Last Week: 6,6"
8,Juju On That Beat (TZ Anthem),8,"
                                Zay Hilfigerrr & Zayion McCall
                            ",6,"Last Week: 9,9"
9,Black Beatles,9,"
                                Rae Sremmurd Featuring Gucci Mane
                            ",8,"Last Week: 16,16"
10,Fake Love,10,"
                                Drake
                            ",2,"Last Week: 24,24"
9,Don't Wanna Know,11,"
                                Maroon 5 Featuring Kendrick Lamar
                            ",4,"Last Week: 13,13"
2,Cold Water,12,"
                                Major Lazer Featuring Justin Bieber & MO
                            ",15,"Last Week: 8,8"
10,I Hate U I Love U,13,"
                                gnash Featuring Olivia O'Brien
                            ",29,"Last Week: 10,10"
6,Treat You Better,14,"
                                Shawn Mendes
                            ",22,"Last Week: 11,11"
1,Cheap Thrills,15,"
                                Sia Featuring Sean Paul
                            ",38,"Last Week: 12,12"
13,Gold,16,"
                                Kiiara
                            ",24,"Last Week: 15,15"
3,Don't Let Me Down,17,"
                                The Chainsmokers Featuring Daya
                            ",38,"Last Week: 17,17"
14,Starving,18,"
                                Hailee Steinfeld & Grey Featuring Zedd
                            ",14,"Last Week: 14,14"
19,OOOUUU,19,"
                                Young M.A
                            ",10,"Last Week: 22,22"
19,The Greatest,20,"
                                Sia Featuring Kendrick Lamar
                            ",9,"Last Week: 19,19"
21,Caroline,21,"
                                Amine
                            ",9,"Last Week: 25,25"
1,Can't Stop The Feeling!,22,"
                                Justin Timberlake
                            ",26,"Last Week: 21,21"
3,This Is What You Came For,23,"
                                Calvin Harris Featuring Rihanna
                            ",27,"Last Week: 18,18"
24,Scars To Your Beautiful,24,"
                                Alessia Cara
                            ",10,"Last Week: 30,30"
25,Blue Ain't Your Color,25,"
                                Keith Urban
                            ",8,"Last Week: 42,42"
5,Ride,26,"
                                twenty one pilots
                            ",34,"Last Week: 20,20"
26,Unsteady,27,"
                                X Ambassadors
                            ",25,"Last Week: 27,27"
28,Sneakin',28,"
                                Drake Featuring 21 Savage
                            ",2,"Last Week: 38,38"
29,Setting The World On Fire,29,"
                                Kenny Chesney Featuring P!nk
                            ",14,"Last Week: 39,39"
1,One Dance,30,"
                                Drake Featuring WizKid & Kyla
                            ",31,"Last Week: 23,23"
8,Send My Love (To Your New Lover),31,"
                                Adele
                            ",25,"Last Week: 26,26"
7,Needed Me,32,"
                                Rihanna
                            ",40,"Last Week: 28,28"
15,Sucker For Pain,33,"
                                Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors
                            ",19,"Last Week: 31,31"
19,Luv,34,"
                                Tory Lanez
                            ",19,"Last Week: 29,29"
35,Chill Bill,35,"
                                Rob $tone Featuring J. Davi$ & Spooks
                            ",14,"Last Week: 40,40"
28,"Sit Still, Look Pretty",36,"
                                Daya
                            ",23,"Last Week: 34,34"
14,Too Good,37,"
                                Drake Featuring Rihanna
                            ",27,"Last Week: 33,33"
34,Tiimmy Turner,38,"
                                Desiigner
                            ",15,"Last Week: 37,37"
39,In The Name Of Love,39,"
                                Martin Garrix & Bebe Rexha
                            ",12,"Last Week: 44,44"
40,May We All,40,"
                                Florida Georgia Line Featuring Tim McGraw
                            ",10,"Last Week: 47,47"
25,Hymn For The Weekend,41,"
                                Coldplay
                            ",23,"Last Week: 36,36"
24,My Way,42,"
                                Calvin Harris
                            ",7,"Last Week: 41,41"
1,Panda,43,"
                                Desiigner
                            ",37,"Last Week: 43,43"
9,We Don't Talk Anymore,44,"
                                Charlie Puth Featuring Selena Gomez
                            ",22,"Last Week: 35,35"
45,Do You Mind,45,"
                                DJ Khaled Featuring Nicki Minaj, Chris Brown & August Alsina
                            ",13,"Last Week: 52,52"
43,No Problem,46,"
                                Chance The Rapper Featuring Lil Wayne & 2 Chainz
                            ",24,"Last Week: 46,46"
47,X,47,"
                                21 Savage & Metro Boomin Featuring Future
                            ",8,"Last Week: 50,50"
46,Middle Of A Memory,48,"
                                Cole Swindell
                            ",15,"Last Week: 48,48"
49,Litty,49,"
                                Meek Mill Featuring Tory Lanez
                            ",1,"Last Week: --,--"
50,Move,50,"
                                Luke Bryan
                            ",11,"Last Week: 51,51"
51,1 Night,51,"
                                Lil Yachty
                            ",13,"Last Week: 53,53"
43,Pick Up The Phone,52,"
                                Young Thug And Travis Scott Featuring Quavo
                            ",12,"Last Week: 54,54"
53,All Time Low,53,"
                                Jon Bellion
                            ",4,"Last Week: 58,58"
54,Better Man,54,"
                                Little Big Town
                            ",1,"Last Week: --,--"
55,A Little More Summertime,55,"
                                Jason Aldean
                            ",9,"Last Week: 60,60"
56,Sleep Without You,56,"
                                Brett Young
                            ",8,"Last Week: 62,62"
57,Million Reasons,57,"
                                Lady Gaga
                            ",3,"Last Week: 57,57"
47,Vice,58,"
                                Miranda Lambert
                            ",16,"Last Week: 67,67"
18,All We Know,59,"
                                The Chainsmokers Featuring Phoebe Ryan
                            ",5,"Last Week: 55,55"
54,Money Longer,60,"
                                Lil Uzi Vert
                            ",21,"Last Week: 63,63"
61,Too Much Sauce,61,"
                                DJ ESCO Featuring Future & Lil Uzi Vert
                            ",11,"Last Week: 64,64"
32,No Limit,62,"
                                Usher Featuring Young Thug
                            ",19,"Last Week: 56,56"
60,Come And See Me,63,"
                                PARTYNEXTDOOR Featuring Drake
                            ",18,"Last Week: 61,61"
47,Fade,64,"
                                Kanye West
                            ",9,"Last Week: 65,65"
25,This Town,65,"
                                Niall Horan
                            ",6,"Last Week: 68,68"
66,Song For Another Time,66,"
                                Old Dominion
                            ",6,"Last Week: 72,72"
67,You Was Right,67,"
                                Lil Uzi Vert
                            ",17,"Last Week: 70,70"
68,Froze,68,"
                                Meek Mill Featuring Lil Uzi Vert & Nicki Minaj
                            ",1,"Last Week: --,--"
69,Dirty Laundry,69,"
                                Carrie Underwood
                            ",3,"Last Week: 77,77"
70,Offended,70,"
                                Meek Mill Featuring Young Thug & 21 Savage
                            ",1,"Last Week: --,--"
71,No Heart,71,"
                                21 Savage & Metro Boomin
                            ",2,"Last Week: 85,85"
72,Wanna Be That Song,72,"
                                Brett Eldredge
                            ",5,"Last Week: 76,76"
73,"Two Birds, One Stone",73,"
                                Drake
                            ",1,"Last Week: --,--"
