"","X","Address","Cuisine","DiningStyle","Restaurant","lon","lat"
"55",54,"38 East 19th Street New York, NY 10003","Tapas / Small Plates","Casual Dining","ABC Cocina",-73.9892841,40.7379803
"56",55,"180 Prince St. New York, NY 10012","Contemporary French","Casual Elegant","Raoul's",-74.0021294,40.7261809
"57",56,"166 East 82nd St., New York, NY 10028","Mexican","Casual Dining","Toloache - Upper East Side",-73.9567512,40.776382
"58",57,"660 Madison Avenue 9th Floor New York, NY 10065","American","Casual Elegant","Freds Madison at Barneys New York",-73.9711289,40.764721
"59",58,"227 Tenth Avenue New York, NY 10011","American","Casual Dining","Red Cat",-74.00419,40.748122
"60",59,"25 West 40th Street New York, NY 10018","American","Casual Elegant","Bryant Park Grill",-73.982929,40.7531718
"61",60,"30 East 20th Street New York, NY 10003","Bistro","Casual Elegant","Le Coq Rico",-73.9888939,40.7385919
"62",61,"446 Columbus Ave. New York, NY 10024","American","Casual Dining","The Milling Room",-73.9744679,40.7837474
"63",62,"1829 Robson St Vancouver, BC V6G 1E4","Italian","Casual Elegant","Tavola",-123.1356847,49.2919048
"64",63,"120 East 39th Street New York, NY 10016","Sushi","Casual Dining","Sushi Roxx",-73.9782452,40.7496271
"65",64,"570 Amsterdam Avenue New York, NY 10024","Seafood","Casual Dining","The Mermaid Inn Uptown",-73.9745316,40.7888732
"66",65,"17 Waverly Place New York, NY 10003","Creole / Cajun / Southern","Casual Dining","The Boil Waverly",-73.9942945,40.730306
"67",66,"622 Tenth Ave New York, NY 10036","American","Casual Elegant","44 & X",-73.9942049,40.7610193
"68",67,"29 East 29th Street New York, NY 10016","Italian","Casual Elegant","Marta",-73.9844689,40.7447125
"69",68,"584 Amsterdam Avenue New York, NY 10024","Mediterranean","Casual Elegant","Bodrum Turkish Mediterranean",-73.9740994,40.7893346
"70",69,"346 West 52nd Street New York, NY 10019","Korean","Casual Dining","Danji",-73.9868593,40.7640313
"71",70,"355 West 46th Street New York, NY 10010","Italian","Casual Dining","Becco",-73.9898224,40.7608056
"72",71,"1 Margaret Corbin Drive @ Fort Tryon Park New York, NY 10040","Contemporary American","Casual Elegant","New Leaf Restaurant & Bar",-73.9309233,40.8648166
"73",72,"754 5th Ave New York, NY 10019","Contemporary American","Casual Elegant","BG - Bergdorf Goodman",-73.9742096,40.7635065
"74",73,"123 West 56th Street New York, NY 10019","Indian","Fine Dining","Indian Accent",-73.9785838,40.7640838
"75",74,"1278 3rd Avenue New York, NY 10028","Steakhouse","Casual Elegant","T-BAR Steak & Lounge (Upper East Side)",-73.9600923,40.7707731
